season,player,nation,pos,age,mp,starts,min,goals,assists
2006-2007,Lilian Thuram,fr FRA,DF,34.0,4,3,269,0,0
2006-2007,Oleguer Presas,es ESP,DF,26.0,5,2,233,0,0
2006-2007,Juliano Belletti,br BRA,"DF,MF",30.0,2,2,180,0,0
2006-2007,Sylvinho,br BRA,DF,32.0,2,2,173,0,0
2006-2007,Edmílson,br BRA,"DF,MF",30.0,2,1,123,0,0
2006-2007,Javier Saviola,ar ARG,FW,24.0,1,1,83,0,0
2006-2007,Santiago Ezquerro,es ESP,FW,29.0,2,0,14,0,0
2007-2008,Lionel Messi,ar ARG,"FW,MF",20.0,9,9,728,6,2
2007-2008,Thierry Henry,fr FRA,FW,29.0,10,7,714,3,2
2007-2008,Dani Alves,br BRA,"DF,MF",24.0,8,8,750,2,2
2007-2008,Xavi,es ESP,MF,27.0,12,11,975,1,1
2007-2008,Carles Puyol,es ESP,DF,29.0,10,9,862,1,0
2007-2008,Andrés Iniesta,es ESP,MF,23.0,11,9,812,1,1
2007-2008,Yaya Touré,ci CIV,MF,24.0,9,9,761,1,0
2007-2008,Ronaldinho,br BRA,"FW,MF",27.0,8,7,586,1,1
2007-2008,Samuel Eto'o,cm CMR,FW,26.0,7,6,504,1,0
2007-2008,Bojan Krkić,es ESP,"FW,MF",16.0,9,3,356,1,1
2007-2008,Giovani dos Santos,mx MEX,"FW,MF",18.0,5,2,134,1,0
2007-2008,Víctor Valdés,es ESP,GK,25.0,11,11,990,0,0
2007-2008,Éric Abidal,fr FRA,DF,27.0,10,10,900,0,0
2007-2008,Gabriel Milito,ar ARG,DF,26.0,9,9,810,0,0
2007-2008,Gianluca Zambrotta,it ITA,DF,30.0,7,7,622,0,0
2007-2008,Lilian Thuram,fr FRA,DF,35.0,6,6,540,0,0
2007-2008,Deco,pt POR,MF,29.0,6,6,503,0,1
2007-2008,Rafael Márquez,mx MEX,"DF,MF",28.0,8,5,400,0,0
2007-2008,Eiður Guðjohnsen,is ISL,"FW,MF",28.0,8,3,246,0,0
2007-2008,Sylvinho,br BRA,DF,33.0,4,2,210,0,2
2007-2008,Oleguer Presas,es ESP,DF,27.0,2,1,95,0,0
2007-2008,Albert Jorquera,es ESP,GK,28.0,1,1,90,0,0
2007-2008,Edmílson,br BRA,"DF,MF",31.0,1,0,22,0,0
2007-2008,Marc Crosas,es ESP,MF,19.0,1,0,20,0,0
2008-2009,Lionel Messi,ar ARG,"FW,MF",21.0,12,10,927,9,5
2008-2009,Thierry Henry,fr FRA,FW,30.0,10,9,702,5,3
2008-2009,Samuel Eto'o,cm CMR,FW,27.0,10,9,780,4,2
2008-2009,Bojan Krkić,es ESP,"FW,MF",17.0,9,3,317,3,1
2008-2009,Xavi,es ESP,MF,28.0,12,11,972,2,6
2008-2009,Sergio Busquets,es ESP,MF,20.0,8,7,621,2,1
2008-2009,Seydou Keita,ml MLI,MF,28.0,9,5,500,2,1
2008-2009,Gerard Piqué,es ESP,DF,21.0,12,12,1080,1,0
2008-2009,Andrés Iniesta,es ESP,MF,24.0,10,10,862,1,2
2008-2009,Rafael Márquez,mx MEX,"DF,MF",29.0,9,9,735,1,2
2008-2009,Sylvinho,br BRA,DF,34.0,7,5,452,1,0
2008-2009,Víctor Valdés,es ESP,GK,26.0,12,12,1080,0,0
2008-2009,Dani Alves,br BRA,"DF,MF",25.0,10,10,900,0,3
2008-2009,Yaya Touré,ci CIV,MF,25.0,10,9,802,0,0
2008-2009,Carles Puyol,es ESP,DF,30.0,9,8,757,0,0
2008-2009,Alexander Hleb,by BLR,MF,27.0,7,4,376,0,0
2008-2009,Éric Abidal,fr FRA,DF,28.0,3,3,246,0,0
2008-2009,Martín Cáceres,uy URU,DF,21.0,3,2,217,0,0
2008-2009,Víctor Sánchez,es ESP,"DF,MF",20.0,3,2,173,0,0
2008-2009,Pedro,es ESP,"FW,MF",21.0,4,1,126,0,0
2008-2009,Eiður Guðjohnsen,is ISL,"FW,MF",29.0,4,1,113,0,1
2008-2009,Albert Jorquera,es ESP,GK,29.0,1,1,90,0,0
2008-2009,Víctor Vázquez,es ESP,"FW,MF",21.0,1,1,90,0,0
2009-2010,Lionel Messi,ar ARG,"FW,MF",22.0,11,11,987,8,0
2009-2010,Zlatan Ibrahimović,se SWE,FW,27.0,10,9,761,4,2
2009-2010,Pedro,es ESP,"FW,MF",22.0,9,7,650,4,1
2009-2010,Gerard Piqué,es ESP,DF,22.0,11,11,988,2,1
